	KO definition	gene name	counts
1	-	['NODE_3028_length_6503_cov_340.302322_g723_i0.p3', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p4', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p5', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p6', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p6', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p3', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p5', 'NODE_15196_length_3397_cov_257.655337_g3682_i0.p3', 'NODE_18852_length_3010_cov_487.663296_g10_i5081.p2', 'NODE_20726_length_2850_cov_705.433915_g830_i19.p2', 'NODE_22034_length_2744_cov_650.165494_g2798_i7.p3', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p2', 'NODE_30744_length_2167_cov_219.423729_g7775_i0.p1', 'NODE_30744_length_2167_cov_219.423729_g7775_i0.p2', 'NODE_31165_length_2141_cov_253.361296_g10_i7766.p2', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p2', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p3', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p2', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p3', 'NODE_40874_length_1640_cov_686.453976_g10850_i0.p2', 'NODE_41737_length_1601_cov_646.466624_g8323_i4.p2', 'NODE_41737_length_1601_cov_646.466624_g8323_i4.p3', 'NODE_43348_length_1531_cov_699.911962_g11699_i0.p3', 'NODE_46002_length_1415_cov_520.762391_g11331_i1.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p3', 'NODE_51256_length_1198_cov_554.492641_g9873_i1.p2', 'NODE_55002_length_1053_cov_656.116832_g16393_i0.p2', 'NODE_58150_length_945_cov_507.737317_g18038_i0.p2', 'NODE_58150_length_945_cov_507.737317_g18038_i0.p3', 'NODE_60413_length_869_cov_632.748184_g19356_i0.p2', 'NODE_61411_length_837_cov_211.617128_g19983_i0.p1', 'NODE_62053_length_817_cov_316.218346_g20397_i0.p1', 'NODE_62102_length_815_cov_757.159326_g20432_i0.p2', 'NODE_65155_length_724_cov_329.552129_g22559_i0.p2', 'NODE_70174_length_597_cov_351.611913_g26627_i0.p1', 'NODE_70440_length_591_cov_873.930657_g26031_i1.p1', 'NODE_70484_length_590_cov_901.643510_g26906_i0.p2', 'NODE_70484_length_590_cov_901.643510_g26906_i0.p3', 'NODE_75813_length_484_cov_299.852608_g31909_i0.p1', 'NODE_75813_length_484_cov_299.852608_g31909_i0.p2']	40
2627	uncharacterized protein	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22034_length_2744_cov_650.165494_g2798_i7.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_29204_length_2258_cov_432.055079_g10_i7406.p1', 'NODE_36564_length_1847_cov_588.473947_g5221_i1.p1', 'NODE_40297_length_1668_cov_702.177231_g1000_i10.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	14
1679	mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	11
1662	mitogen-activated protein kinase kinase [EC:2.7.12.2]	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	10
2091	pulmonary surfactant-associated protein D	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_9182_length_4279_cov_219.650378_g2172_i0.p1', 'NODE_15196_length_3397_cov_257.655337_g3682_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p4', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	9
1017	collagen type IV alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p3', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p6', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p4', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	9
1512	laminin, alpha 1/2	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	9
1515	laminin, beta 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	8
519	Rho-associated protein kinase 1 [EC:2.7.11.1]	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	8
1041	collectin sub-family member 12	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	8
1519	laminin, gamma 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	8
986	citron Rho-interacting kinase [EC:2.7.11.35]	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	8
1026	collagen type XIV alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p4', 'NODE_40297_length_1668_cov_702.177231_g1000_i10.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	8
520	Rho-associated protein kinase 2 [EC:2.7.11.1]	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	8
1513	laminin, alpha 3/5	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	8
